"","SCHNAME","TALLPUP_ACAD_1618","TALLPPE_ACAD_1618","TALLPPEGRD_ACAD_1618"
"1","Sheffield Springs Academy","NE","NE","NE"
"2","UTC Sheffield Olympic Legacy Park","NE","NE","NE"
"3","Sheffield High School","95","42.31","B+"
"4","Birkdale School","111","38.36","B"
"5","Silverdale School","180","37.16","B-"
"6","Tapton School","249","35.26","B-"
"7","King Ecgbert School","128","33.00","C+"
"8","King Edward VII School","280","32.69","C+"
"9","High Storrs School","191","31.97","C+"
"10","Chapeltown Academy","94","31.25","C"
"11","Notre Dame High School","220","31.06","C"
"12",NA,NA,"30.75","C"
"13","Bradfield School","64","30.52","C"
"14","All Saints' Catholic High School","165","29.20","C"
"15","Meadowhead School Academy Trust","139","29.16","C"
"16","Forge Valley School","46","27.09","C-"
"17","Sheffield Park Academy","33","26.72","C-"
"18","Longley Park Sixth Form College","178","25.07","C-"
"19","UTC Sheffield","103","24.20","D+"
"20","The Sheffield College","226","18.20","D-"
